p,rho,theta,sigma1,sigma2,sigma3,I1,I2,I3,f
789.4736842105266,469.63901083436855,0.5235987755982988,981.2030075187972,981.203007518797,406.01503759398526,2368.4210526315796,1759525.6939340841,390894770.4214466,-71.77399658660444
842.1052631578949,500.9482782233265,0.5235987755982988,1046.6165413533836,1046.6165413533834,433.08270676691745,2526.3157894736846,2001949.233987224,474401475.450739,-76.55892969237807
894.7368421052632,532.2575456122844,0.5235987755982988,1112.03007518797,1112.0300751879697,460.1503759398497,2684.2105263157896,2260013.0024308893,569026965.0609083,-81.34386279815169
947.3684210526316,563.5668130012422,0.5235987755982988,1177.4436090225563,1177.443609022556,487.218045112782,2842.1052631578946,2533716.9992650794,675466163.288259,-86.12879590392532
1000.0,594.8760803902002,0.5235987755982988,1242.8571428571427,1242.8571428571427,514.2857142857143,2999.9999999999995,2823061.224489795,794413994.169096,-90.91372900969895
1e-12,6.190090784084703e-13,0.6283185307179586,1.2055723444665123e-12,1.2970777145694383e-12,4.973499409640493e-13,3e-12,2.808413880423948e-24,7.777165576321465e-37,-9.46019271308698e-14
52.63157894736937,31.452693692165372,0.6283185307179586,63.076989536031,67.7265019219162,27.091245384160892,157.89473684210807,7815.613337232932,115733.3628398985,-4.806852662623375
105.26315789473772,62.905387384330126,0.6283185307179586,126.15397907206076,135.45300384383106,54.182490768321266,315.7894736842131,31262.453348931118,925866.902719161,-9.613705325246654
157.89473684210608,94.35808107649495,0.6283185307179586,189.2309686080906,203.179505765746,81.27373615248159,473.68421052631817,70340.52003509458,3124800.7966771377,-14.420557987869946
210.52631578947447,125.8107747686597,0.6283185307179586,252.30795814412045,270.9060076876609,108.36498153664205,631.5789473684234,125049.81339572338,7406935.22175319,-19.227410650493226
263.1578947368429,157.26346846082447,0.6283185307179586,315.3849476801502,338.63250960957583,135.4562269208024,789.4736842105285,195390.33343081735,14466670.354986653,-24.034263313116508
315.7894736842112,188.7161621529891,0.6283185307179586,378.46193721617993,406.35901153149064,162.54747230496287,947.3684210526335,281362.0801403766,24998406.37341689,-28.841115975739772
368.4210526315796,220.16885584515396,0.6283185307179586,441.5389267522099,474.0855134534056,189.63871768912327,1105.2631578947387,382965.0535244013,39696543.45408327,-33.64796863836306
421.052631578948,251.62154953731877,0.6283185307179586,504.6159162882397,541.8120153753206,216.7299630732836,1263.157894736844,500199.2535828912,59255481.77402511,-38.45482130098635
473.6842105263164,283.07424322948356,0.6283185307179586,567.6929058242695,609.5385172972356,243.82120845744402,1421.052631578949,633064.6803158463,84369621.51028179,-43.26167396360964
526.3157894736847,314.5269369216485,0.6283185307179586,630.7698953602993,677.2650192191504,270.9124538416042,1578.947368421054,781561.3337232664,115733362.83989254,-48.068526626232945
578.947368421053,345.97963061381296,0.6283185307179586,693.846884896329,744.9915211410653,298.0036992257649,1736.842105263159,945689.2138051525,154041105.939897,-52.87537928885618
631.5789473684214,377.432324305978,0.6283185307179586,756.923874432359,812.7180230629803,325.094944609925,1894.7368421052643,1125448.320561503,199987250.98733416,-57.68223195147951
684.2105263157898,408.88501799814276,0.6283185307179586,820.0008639683887,880.4445249848951,352.18618999408534,2052.6315789473692,1320838.653992319,254266198.15924358,-62.489084614102794
736.8421052631581,440.33771169030723,0.6283185307179586,883.0778535044184,948.1710269068099,379.27743537824597,2210.526315789474,1531860.2140976007,317572347.63266474,-67.29593727672602
789.4736842105266,471.7904053824724,0.6283185307179586,946.1548430404483,1015.897528828725,406.36868076240603,2368.421052631579,1758513.0008773473,390600099.58463657,-72.10278993934936
842.1052631578949,503.24309907463686,0.6283185307179586,1009.231832576478,1083.6240307506396,433.45992614656666,2526.315789473684,2000797.014331559,474043854.1921989,-76.9096426019726
894.7368421052632,534.6957927668019,0.6283185307179586,1072.3088221125079,1151.3505326725547,460.55117153072683,2684.210526315789,2258712.254460236,568598011.6323906,-81.71649526459593
947.3684210526316,566.1484864589668,0.6283185307179586,1135.3858116485376,1219.0770345944698,487.64241691488706,2842.1052631578946,2532258.721263379,674956972.0822514,-86.52334792721922
1000.0,597.6011801511316,0.6283185307179586,1198.4628011845675,1286.8035365163846,514.7336622990474,2999.9999999999995,2821436.414740986,793815135.7188206,-91.33020058984252
1e-12,6.302318947286631e-13,0.7330382858376183,1.159014640859036e-12,1.3443226909677332e-12,4.966626681732306e-13,3e-12,2.8014038794333594e-24,7.738449781543796e-37,-9.631708784298044e-14
52.63157894736937,31.887327673726276,0.7330382858376183,60.67711266345499,70.05299250041459,27.164631678238514,157.8947368421081,7801.848474393728,115466.3451998598,-4.873276910160972
105.26315789473772,63.77465534745193,0.7330382858376183,121.35422532690879,140.10598500082781,54.329263356476496,315.7894736842131,31207.3938975743,923730.7615988512,-9.74655382032185
157.89473684210608,95.66198302117759,0.7330382858376183,182.0313379903626,210.15897750124105,81.4938950347145,473.68421052631817,70216.63626954172,3117591.320396093,-14.619830730482727
210.52631578947447,127.54931069490334,0.7330382858376183,242.70845065381653,280.2119700016544,108.6585267129525,631.5789473684234,124829.5755902961,7389846.092790711,-19.493107640643622
263.1578947368429,159.43663836862902,0.7330382858376183,303.38556331727034,350.26496250206765,135.82315839119047,789.4736842105285,195046.21185983723,14433293.149981814,-24.3663845508045
315.7894736842112,191.32396604235464,0.7330382858376183,364.0626759807241,420.31795500248086,162.98779006942846,947.3684210526335,280866.54507816525,24940730.56316852,-29.239661460965376
368.4210526315796,223.2112937160803,0.7330382858376183,424.739788644178,490.3709475028942,190.15242174766655,1105.2631578947387,382290.5752452803,39604956.403549984,-34.11293837112625
421.052631578948,255.09862138980606,0.7330382858376183,485.4169013076319,560.4239400033075,217.31705342590453,1263.157894736844,499318.30236118217,59118768.7423253,-38.986215281287144
473.6842105263164,286.98594906353173,0.7330382858376183,546.0940139710858,630.4769325037207,244.4816851041425,1421.052631578949,631949.7264258708,84174965.65069355,-43.85949219144803
526.3157894736847,318.8732767372576,0.7330382858376183,606.7711266345395,700.529925004134,271.64631678238027,1578.9473684210539,780184.8474393458,115466345.1998538,-48.73276910160894
578.947368421053,350.7606044109831,0.7330382858376183,667.4482392979935,770.5829175045473,298.8109484606185,1736.8421052631593,944023.6654016087,153685705.46100545,-53.60604601176979
631.5789473684214,382.64793208470877,0.7330382858376183,728.1253519614472,840.6359100049605,325.97558013885646,1894.7368421052643,1123466.1803126577,199525844.50534728,-58.47932292193067
684.2105263157898,414.5352597584345,0.7330382858376183,788.8024646249011,910.6889025053737,353.1402118170944,2052.6315789473692,1318512.3921724935,253679560.40407854,-63.35259983209156
736.8421052631581,446.4225874321599,0.7330382858376183,849.4795772883548,980.7418950057868,380.30484349533253,2210.526315789474,1529162.3009811165,316839651.22839844,-68.2258767422524
789.4736842105266,478.30991510588586,0.7330382858376183,910.1566899518087,1050.7948875062002,407.4694751735704,2368.4210526315796,1755415.9067385262,389698915.049506,-73.0991536524133
842.1052631578949,510.1972427796116,0.7330382858376183,970.8338026152626,1120.8478800066137,434.63410685180827,2526.3157894736846,1997273.209444723,472950149.9386003,-77.97243056257422
894.7368421052632,542.084570453337,0.7330382858376183,1031.5109152787163,1190.9008725070266,461.7987385300464,2684.210526315789,2254734.2090997063,567286153.9668806,-82.84570747273506
947.3684210526316,573.9718981270629,0.7330382858376183,1092.1880279421703,1260.95386500744,488.96337020828423,2842.1052631578946,2527798.9057034766,673399725.2055458,-87.71898438289595
1000.0,605.8592258007886,0.7330382858376183,1152.865140605624,1331.0068575078533,516.1280018865223,2999.9999999999995,2816467.2992560337,791983661.7257951,-92.59226129305686
1e-12,6.49531299305606e-13,0.8377580409572781,1.1102639037991991e-12,1.3941194899768122e-12,4.956166062239886e-13,3e-12,2.7890545456111856e-24,7.671354790307907e-37,-9.926657748560622e-14
52.63157894736937,32.62587812068446,0.8377580409572781,58.17012141685387,72.42815296730716,27.296462457947065,157.89473684210807,7778.025345906643,115004.21233146367,-4.986148107050762
105.26315789473772,65.25175624136823,0.8377580409572781,116.3402428337066,144.85630593461286,54.59292491589365,315.78947368421314,31112.101383625974,920033.698651683,-9.972296214101416
157.89473684210608,97.87763436205204,0.8377580409572781,174.51036425055935,217.2844589019186,81.88938737384022,473.6842105263182,70002.228113158,3105113.7329494013,-14.95844432115208
210.52631578947447,130.50351248273589,0.8377580409572781,232.68048566741214,289.7126118692245,109.1858498317868,631.5789473684233,124448.40553450279,7360269.589213367,-19.94459242820275
263.1578947368429,163.12939060341986,0.8377580409572781,290.85060708426494,362.14076483653025,136.48231228973322,789.4736842105285,194450.63364766014,14375526.5414323,-24.930740535253438
315.7894736842112,195.75526872410356,0.8377580409572781,349.0207285011176,434.5689178038359,163.77877474767985,947.3684210526333,280008.91245263023,24840909.863594968,-29.91688864230408
